Virtual User Script started at: 8/9/2025 9:38:23 PM	[MsgId: MMSG-15967]
vuser_init.c(76): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(76): web_custom_request("jquery-3.7.1.min.js") was successful, 30336 body bytes, 631 header bytes  	[MsgId: MMSG-26386]
vuser_init.c(89): Notify: Transaction "TR1_JPetStore_Launch" ended with a "Pass" status (Duration: 0.5217 Wasted Time: 0.0005).	[MsgId: MMSG-16871]
vuser_init.c(91): lr_think_time: 17.00 seconds.	[MsgId: MMSG-15948]
vuser_init.c(93): Notify: Transaction "TR2_JPetStore_ClickSignUp" started.	[MsgId: MMSG-16999]
vuser_init.c(95): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
vuser_init.c(95): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
vuser_init.c(98): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
vuser_init.c(98): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
vuser_init.c(101): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
vuser_init.c(101): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
vuser_init.c(104): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
vuser_init.c(104): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
vuser_init.c(107): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
vuser_init.c(107): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
vuser_init.c(110): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
vuser_init.c(110): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
vuser_init.c(113): web_add_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
vuser_init.c(113): web_add_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
vuser_init.c(116): web_add_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
vuser_init.c(116): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
vuser_init.c(119): web_custom_request("newAccountForm") started  	[MsgId: MMSG-26355]
vuser_init.c(119): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(119): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(119): Warning -26604: Unsupported "Content-Encoding"  	[MsgId: MWAR-26604]
vuser_init.c(119): web_custom_request("newAccountForm") highest severity level was "warning", 5816 body bytes, 608 header bytes  	[MsgId: MMSG-26388]
vuser_init.c(129): web_add_header("Origin") started  	[MsgId: MMSG-26355]
vuser_init.c(129): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(129): web_add_header("Origin") was successful  	[MsgId: MMSG-26392]
vuser_init.c(132): web_custom_request("speculation_2") started  	[MsgId: MMSG-26355]
vuser_init.c(132): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(132): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(132): web_custom_request("speculation_2") was successful, 128 body bytes, 608 header bytes  	[MsgId: MMSG-26386]
vuser_init.c(144): Notify: Transaction "TR2_JPetStore_ClickSignUp" ended with a "Pass" status (Duration: 0.1726 Wasted Time: 0.0000).	[MsgId: MMSG-16871]
vuser_init.c(146): lr_think_time: 9.00 seconds.	[MsgId: MMSG-15948]
vuser_init.c(148): Notify: Transaction "TR3_JPetStore_SaveAccountInformation" started.	[MsgId: MMSG-16999]
vuser_init.c(151): web_add_auto_header("Origin") started  	[MsgId: MMSG-26355]
vuser_init.c(151): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(151): web_add_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
vuser_init.c(154): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
vuser_init.c(154): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
vuser_init.c(157): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
vuser_init.c(157): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
vuser_init.c(160): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
vuser_init.c(160): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
vuser_init.c(163): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
vuser_init.c(163): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
vuser_init.c(166): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
vuser_init.c(166): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
vuser_init.c(169): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
vuser_init.c(169): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
vuser_init.c(172): web_add_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
vuser_init.c(172): web_add_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
vuser_init.c(175): web_add_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
vuser_init.c(175): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
vuser_init.c(177): web_add_header("Accept-Encoding") started  	[MsgId: MMSG-26355]
vuser_init.c(177): web_add_header("Accept-Encoding") was successful  	[MsgId: MMSG-26392]
vuser_init.c(193): web_custom_request("newAccount") started  	[MsgId: MMSG-26355]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_UsrName" =  "user08"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_Password = 8 [table  = P_Password].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_Password" =  "Pass@123"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_Password = 8 [table  = P_Password].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_Password" =  "Pass@123"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_FirstName = 8 [table  = P_FirstName].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_FirstName" =  "Susan"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_LastName = 8 [table  = P_LastName].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_LastName" =  "Davis"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_Email = 8 [table  = P_Email].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_Email" =  "user08@test.com"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_PhoneNumber = 8 [table  = P_PhoneNumber].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_PhoneNumber" =  "5551110008"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_AddressLine1 = 8 [table  = P_AddressLine1].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_AddressLine1" =  "258 Willow St"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_AddressLine2 = 8 [table  = P_AddressLine2].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_AddressLine2" =  "Apt 8"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_City = 8 [table  = P_City].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_City" =  "San Diego"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_State = 8 [table  = P_State].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_State" =  "CA"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_ZipCode = 8 [table  = P_ZipCode].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_ZipCode" =  "92101"	[MsgId: MMSG-13992]
vuser_init.c(193): Notify: Next row for parameter P_Country = 8 [table  = P_Country].	[MsgId: MMSG-13876]
vuser_init.c(193): Notify: Parameter Substitution: parameter "P_Country" =  "USA"	[MsgId: MMSG-13992]
vuser_init.c(193): web_custom_request("newAccount") was successful, 5468 body bytes, 565 header bytes  	[MsgId: MMSG-26386]
vuser_init.c(204): web_add_header("Accept-Encoding") started  	[MsgId: MMSG-26355]
vuser_init.c(204): web_add_header("Accept-Encoding") was successful  	[MsgId: MMSG-26392]
vuser_init.c(207): web_reg_find started  	[MsgId: MMSG-26355]
vuser_init.c(207): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
vuser_init.c(212): web_custom_request("FollowRedirect") started  	[MsgId: MMSG-26355]
vuser_init.c(212): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(212): Found resource "https://cdn.jsdelivr.net/gh/aspectran/aspectran-assets/app/webroot/assets/foundation@6.9.0/css/aspectran.css" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Found resource "https://jpetstore.aspectran.com/css/jpetstore.css?20250227" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Found resource "https://fonts.googleapis.com/css2?family=Open+Sans:ital,wght@0,400;0,700;1,400&display=swap" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Found resource "https://cdn.jsdelivr.net/gh/aspectran/aspectran-assets/app/webroot/assets/js/modernizr-custom.js" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Resource "https://code.jquery.com/jquery-3.7.1.min.js" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(212): Found resource "https://unpkg.com/htmx.org@2.0.4" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Found resource "https://cdn.jsdelivr.net/gh/aspectran/aspectran-assets/app/webroot/assets/img/aspectran-site-logo.png" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Found resource "https://jpetstore.aspectran.com/images/logo-topbar.gif" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Found resource "https://jpetstore.aspectran.com/images/cart.gif" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Found resource "https://cdn.jsdelivr.net/gh/aspectran/aspectran-assets/app/webroot/assets/img/aspectran-logo-grey-x100.png" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Found resource "https://cdn.jsdelivr.net/gh/aspectran/aspectran-assets/app/webroot/assets/foundation@6.9.0/js/foundation.min.js" in HTML "https://jpetstore.aspectran.com/account/signonForm?created=true"  	[MsgId: MMSG-26659]
vuser_init.c(212): Redirecting "https://unpkg.com/htmx.org@2.0.4" (redirection depth is 0)  	[MsgId: MMSG-26694]
vuser_init.c(212): To location "https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js"  	[MsgId: MMSG-26693]
vuser_init.c(212): Registered web_reg_find successful for "Text=Your account has been created. Please try login." (count=1)  	[MsgId: MMSG-26364]
vuser_init.c(212): Notify: Saving Parameter "saveAccInfo_Count = 1".	[MsgId: MMSG-13798]
vuser_init.c(212): web_custom_request("FollowRedirect") was successful, 120936 body bytes, 8484 header bytes  	[MsgId: MMSG-26386]
vuser_init.c(220): Notify: Parameter Substitution: parameter "saveAccInfo_Count" =  "1"	[MsgId: MMSG-13992]
vuser_init.c(221): Account creation confirmation found.	[MsgId: MMSG-17999]
vuser_init.c(229): web_custom_request("speculation_3") started  	[MsgId: MMSG-26355]
vuser_init.c(229): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(229): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
vuser_init.c(229): web_custom_request("speculation_3") was successful, 128 body bytes, 612 header bytes  	[MsgId: MMSG-26386]
vuser_init.c(239): Notify: Transaction "TR3_JPetStore_SaveAccountInformation" ended with a "Pass" status (Duration: 0.5174 Wasted Time: 0.0007).	[MsgId: MMSG-16871]
vuser_init.c(241): lr_think_time: 9.00 seconds.	[MsgId: MMSG-15948]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Warning -27077: The "vuser_init" section contains web function(s) when the "Simulate a new user on each iteration" Runtime Setting is ON.  This may produce unpredictable results with multiple iterations  	[MsgId: MWAR-27077]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Login.	[MsgId: MMSG-15919]
Login.c(4): Rendezvous Login_Rendezvous	[MsgId: MMSG-17987]
Login.c(6): Notify: Transaction "TR4_JPetStore_Login" started.	[MsgId: MMSG-16999]
Login.c(10): web_add_auto_header("Origin") started  	[MsgId: MMSG-26355]
Login.c(10): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(10): web_add_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Login.c(13): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Login.c(13): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Login.c(16): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Login.c(16): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Login.c(19): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Login.c(19): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Login.c(22): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Login.c(22): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Login.c(25): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Login.c(25): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Login.c(28): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Login.c(28): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Login.c(31): web_add_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Login.c(31): web_add_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Login.c(34): web_add_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Login.c(34): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Login.c(36): web_add_header("Accept-Encoding") started  	[MsgId: MMSG-26355]
Login.c(36): web_add_header("Accept-Encoding") was successful  	[MsgId: MMSG-26392]
Login.c(37): web_reg_find started  	[MsgId: MMSG-26355]
Login.c(37): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Login.c(39): web_custom_request("signon") started  	[MsgId: MMSG-26355]
Login.c(39): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(39): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(39): Notify: Parameter Substitution: parameter "P_UsrName" =  "user08"	[MsgId: MMSG-13992]
Login.c(39): Notify: Next row for parameter P_Password = 8 [table  = P_Password].	[MsgId: MMSG-13876]
Login.c(39): Notify: Parameter Substitution: parameter "P_Password" =  "Pass@123"	[MsgId: MMSG-13992]
Login.c(39): Connection to jpetstore.aspectran.com:443 closed after being inactive for 61 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Login.c(39): Connection to code.jquery.com:443 closed after being inactive for 61 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Login.c(39): Redirecting "https://jpetstore.aspectran.com/account/signon" (redirection depth is 0)  	[MsgId: MMSG-26694]
Login.c(39): To location "https://jpetstore.aspectran.com/"  	[MsgId: MMSG-26693]
Login.c(39): Registered web_reg_find successful for "Text=Welcome" (count=3)  	[MsgId: MMSG-26364]
Login.c(39): web_custom_request("signon") was successful, 5352 body bytes, 1150 header bytes  	[MsgId: MMSG-26386]
Login.c(50): web_concurrent_start started  	[MsgId: MMSG-26355]
Login.c(50): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Login.c(52): web_custom_request("speculation_4") started  	[MsgId: MMSG-26355]
Login.c(52): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(52): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(52): Registering web_custom_request("speculation_4") was successful  	[MsgId: MMSG-26390]
Login.c(61): web_custom_request("banner_dogs.gif") started  	[MsgId: MMSG-26355]
Login.c(61): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(61): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(61): Registering web_custom_request("banner_dogs.gif") was successful  	[MsgId: MMSG-26390]
Login.c(70): web_concurrent_end started  	[MsgId: MMSG-26355]
Login.c(70): web_concurrent_end was successful  	[MsgId: MMSG-26392]
Login.c(73): Notify: Transaction "TR4_JPetStore_Login" ended with a "Pass" status (Duration: 0.4529 Wasted Time: 0.0000).	[MsgId: MMSG-16871]
Login.c(75): lr_think_time: 39.00 seconds.	[MsgId: MMSG-15948]
Login.c(77): Notify: Transaction "TR5_JPetStore_Logout" started.	[MsgId: MMSG-16999]
Login.c(80): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Login.c(80): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Login.c(83): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Login.c(83): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Login.c(86): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Login.c(86): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Login.c(89): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Login.c(89): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Login.c(92): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Login.c(92): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Login.c(95): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Login.c(95): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Login.c(98): web_add_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
Login.c(98): web_add_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
Login.c(101): web_add_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
Login.c(101): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Login.c(104): web_custom_request("signoff") started  	[MsgId: MMSG-26355]
Login.c(104): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(104): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(104): Connection to cdn.jsdelivr.net:443 closed after being inactive for 74 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Login.c(104): Connection to fonts.googleapis.com:443 closed after being inactive for 74 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Login.c(104): Connection to unpkg.com:443 closed after being inactive for 74 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Login.c(104): Redirecting "https://jpetstore.aspectran.com/account/signoff" (redirection depth is 0)  	[MsgId: MMSG-26694]
Login.c(104): To location "https://jpetstore.aspectran.com/"  	[MsgId: MMSG-26693]
Login.c(104): Warning -26604: Unsupported "Content-Encoding"  	[MsgId: MWAR-26604]
Login.c(104): web_custom_request("signoff") highest severity level was "warning", 5712 body bytes, 1415 header bytes  	[MsgId: MMSG-26388]
Login.c(114): web_add_header("Origin") started  	[MsgId: MMSG-26355]
Login.c(114): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(114): web_add_header("Origin") was successful  	[MsgId: MMSG-26392]
Login.c(117): web_concurrent_start started  	[MsgId: MMSG-26355]
Login.c(117): web_concurrent_start was successful  	[MsgId: MMSG-26392]
Login.c(119): web_custom_request("speculation_5") started  	[MsgId: MMSG-26355]
Login.c(119): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(119): Notify: Parameter Substitution: parameter "P_HostName" =  "jpetstore.aspectran.com"	[MsgId: MMSG-13992]
Login.c(119): Registering web_custom_request("speculation_5") was successful  	[MsgId: MMSG-26390]
Login.c(129): web_concurrent_end started  	[MsgId: MMSG-26355]
Login.c(129): web_concurrent_end was successful  	[MsgId: MMSG-26392]
